name,cpf
Scottie Schaefer,109.670.602-61
Rep. Basil Ferry,940.599.998-61
Jerold Dietrich,508.216.594-32
Trevor Carroll,288.581.458-58
Wilford Upton,817.152.927-70
The Hon. Myrle Nitzsche,779.131.962-64
Lauryn Oberbrunner,801.488.649-31
Rep. Charley Thiel,101.296.328-33
Eugenio Lind,408.633.709-98
The Hon. Edison Keebler,453.469.907-77
Amb. Rufina Treutel,807.784.239-96
Tammie Harber,324.457.970-82
Hildegard Wiza,152.945.449-95
Harris Mills,770.598.881-51
Wilson Hand,522.720.795-18
Rebekah Nicolas,930.363.156-53
Mrs. Mai DuBuque,695.410.702-55
Cornell White,202.761.536-65
Nicholle Luettgen,408.205.819-68
Elisabeth Nolan,971.872.492-24
Mellisa Bosco,254.696.658-72
Lon Homenick,355.415.452-59
Korey Reichel,139.669.419-51
Milissa Stokes,733.429.340-78
Ms. Isaac Haag,241.354.511-54
Byron Ward,953.493.742-31
Vince Nikolaus,587.472.365-21
Abraham Koelpin,433.208.934-87
Joanne Ryan,260.539.201-47
Shiela Heidenreich,823.531.902-19
Maile Wyman,493.544.629-16
Dana Dare,498.213.973-43
Deborah Sauer Jr.,214.281.982-37
Carola Rolfson,629.715.977-88
Neta Lang,268.333.570-58
Marjorie Effertz,363.828.164-20
Tari Hackett,667.812.947-61
Mrs. Laine Fisher,819.230.786-45
Fr. Darin Swaniawski,229.110.225-69
Royce Carroll CPA,815.110.754-89
The Hon. Hilton Fadel,428.852.908-89
Mark Kshlerin,991.206.279-86
Trevor Blanda Ret.,352.454.742-48
Basil Erdman,760.224.611-70
Ms. Violeta Schimmel,138.428.293-90
Stormy Dibbert,857.240.171-89
Johana Spinka,645.211.550-20
Ms. Eneida Kub,580.889.676-32
Maximo Nikolaus,343.376.578-21
Pamula Bahringer,485.278.762-27
Henry Harvey DDS,598.587.714-51
Eldridge Pfannerstill,139.360.845-30
Denisha Rohan Sr.,578.927.855-63
Ebonie Frami,764.653.647-65
Gail Paucek,456.261.146-90
Leroy Sawayn,613.214.312-72
Nan Bahringer,804.753.714-67
Lekisha Trantow,102.812.353-50
Robin Durgan,987.951.270-33
Eden Murray,925.273.920-11
Kieth Collins,894.402.127-21
Damon Kozey V,883.802.377-70
Euna Friesen Jr.,864.450.418-96
Khadijah Runolfsson JD,578.336.610-97
Cher Jakubowski,538.544.146-68
Rep. Rob Mayer,833.704.548-70
Tatiana Hills,278.336.614-79
Royal Ebert,423.672.852-46
Pierre Lindgren,736.697.649-37
Sen. Lynn Stokes,337.925.127-43
Richard Leffler,842.828.911-51
Nyla Gulgowski PhD,712.761.557-29
Ivey Rempel,893.994.808-65
Meghan Crist LLD,150.165.133-83
Graham Schowalter,796.408.981-26
Latia Steuber,853.369.108-87
Lelah Kozey,856.771.119-36
Kellie Dicki,771.558.914-39
Windy Rogahn,981.251.623-21
Idella Nienow,865.541.155-36
Marry Orn DDS,115.392.141-62
Milly Daniel,340.941.681-22
Mrs. Vonnie Wilderman,241.778.262-36
Kathaleen Anderson,749.104.282-90
Rep. Carli Monahan,591.850.282-45
Janae Schultz,584.722.970-19
Bess Koss,222.149.359-25
Deon Nitzsche I,459.105.573-48
Nila Schamberger IV,392.635.968-43
Taylor Greenholt,790.129.491-51
Geraldine Krajcik LLD,148.146.969-17
Elisa Hammes,228.266.465-49
Harvey Ledner,560.938.240-81
Tyree Kuhn,542.436.517-74
Sade Bahringer,264.857.968-73
Gov. Rob Cremin,257.242.904-96
Willian Feeney,390.281.582-10
Dannie Boyer,889.903.881-97
Floretta Wuckert,579.299.434-85
Reggie Schaefer,727.862.563-75
Tess Langworth,387.326.395-19
Christen Lehner LLD,922.928.911-48
Ela Rutherford,391.295.945-56
Autumn Denesik,204.123.883-43
Josiah Torp,825.663.366-98
Odilia Spencer,661.520.216-12
Lauran Gutmann,996.452.724-16
Shelba Kovacek,656.696.430-37
Todd Murazik,414.895.796-71
Darrel Harber,998.121.367-27
Shawanda Koss,519.339.246-24
Sen. Jessie Marvin,817.114.553-24
Misha Ritchie,860.874.599-75
Deon Haley,660.251.267-76
Gov. Verna Collier,318.310.280-51
Denny Johns,847.642.179-16
Lavada Lehner,644.360.712-12
Marshall Zulauf,333.412.904-33
Ms. Oscar Mante,304.646.418-85
Irmgard Stiedemann DC,230.308.420-86
Sam Larson,790.824.592-42
Tania Stamm,740.463.496-41
Laverne Lesch,878.932.492-52
Quincy Torphy LLD,714.675.378-54
Breanne Beier,123.418.156-98
Nubia Shields,737.597.627-28
Waldo Barton,352.573.526-14
Luther Lindgren,405.408.223-58
Sung Lindgren Esq.,287.990.178-91
Ward Kuhlman,214.265.231-91
Katina Lynch DDS,167.443.682-34
Leonel O'Hara JD,603.523.153-28
Tawanna Kuvalis,708.246.341-86
Pres. Ferdinand Hyatt,697.746.925-89
Dr. Mia Becker,566.995.992-87
Janee Turcotte,976.997.111-10
Dayna Luettgen,186.151.669-90
Maddie Prohaska,470.544.216-93
Lashell Connelly I,602.122.934-24
Ewa Bernier III,728.619.254-12
Quincy Hermann III,680.190.329-74
Jordan Zboncak,519.617.376-36
Grover Towne,591.139.277-65
Dick Rempel DO,950.892.140-55
Andre Padberg,561.207.727-53
Xiomara Wehner,422.460.470-21
Kimi Hermann,249.733.439-84
Hayley Parker,536.688.469-92
Lucio Crist,733.133.484-13
Roy Krajcik,899.290.493-59
Miss Leia Lindgren,958.129.626-96
Chester Dach,767.786.532-10
Kirby Kuphal,705.218.443-41
Fredrick Kassulke MD,710.580.626-39
Tesha Hirthe CPA,677.787.894-95
Alethia Cole,623.840.143-72
Rep. Rashad Fahey,419.224.269-30
Jere Bradtke Jr.,511.826.359-11
Cliff Gibson DO,686.292.835-98
Viviana Powlowski DVM,660.326.934-92
Luciano Wolff,618.698.849-23
Eddie Hintz,248.640.937-54
Allie Stamm,882.652.521-38
Barney Schinner,510.921.762-93
Ali Fahey,592.304.502-91
Tomika Wiegand,639.932.202-87
Miss Coretta Reynolds,734.231.468-22
Arlinda Haley,628.934.865-25
Antonio Prohaska,877.250.494-76
Ali Turcotte,432.385.641-93
Merna Zulauf,722.565.894-69
Muoi Schowalter,924.404.798-16
Adelia Schuster,197.749.213-37
Mickey Marks,563.524.134-38
Santos Heathcote,465.784.907-99
Refugio Thompson,822.884.632-65
Hilaria Willms,188.591.576-52
Michael Beatty,223.322.199-36
Mr. Lionel Trantow,259.486.149-30
Danny Lemke,767.738.873-11
Waneta Paucek,404.848.178-56
America Durgan,892.218.729-96
Chung Johns,157.410.724-57
Elmo Murazik,843.219.810-40
Lou Will,949.880.744-90
Ms. Freddie Mann,371.406.533-42
Dr. Vinnie Dicki,726.988.408-33
Rep. Earle Hoeger,419.374.428-48
Everette Jacobson,200.846.248-35
Neal Corwin,791.252.871-38
Fr. Herschel Shields,149.450.593-73
Chase Zieme,143.378.578-94
Ferdinand Rippin,468.380.698-75
Tyron Strosin,930.139.475-64
Vashti Hoeger,898.872.678-88
Marvella Lynch,519.503.868-59
Florencio Braun,160.100.102-84
Amb. Wesley McDermott,788.881.848-74
Iva Kessler,594.779.738-11
Jenice Halvorson,289.253.931-50
Coleen O'Kon DVM,812.512.975-86
Patti Collier,310.900.389-92
Tobias Boyle,419.594.881-18
Reinaldo Macejkovic,842.285.255-19
Creola Ritchie,329.124.571-50
Lazaro McDermott,348.426.434-41
Layne Erdman IV,933.696.983-63
Sen. Burton Schaden,546.557.843-90
Miss Omer Nikolaus,625.450.819-95
Dessie Goodwin,524.976.128-33
Petra Bartell,671.219.630-45
Kaci Stark,849.513.605-64
Marquerite Armstrong,235.150.361-90
Meri Pouros MD,351.941.250-54
Hang Ruecker,608.712.201-16
Yolonda Weimann,815.268.119-71
Eugene Kautzer,547.704.603-47
Giovanni Dibbert,177.366.542-81
Jerlene Shields,332.860.136-84
Deedee Hessel,754.273.200-89
Sen. Taryn Graham,793.245.624-96
America Brekke,440.294.596-79
Mr. Charlott Lang,425.415.254-20
Ricardo Olson,672.948.972-14
Donette Hayes,946.513.889-91
Marcelo Gislason,147.366.396-81
Vella Volkman,226.705.664-89
Josefina Conn,902.231.162-64
Shana Ernser,977.528.528-88
Kirstin Rice,447.559.715-81
Lia Lockman,553.720.948-42
Lizabeth Weissnat,552.144.621-31
Sen. Toccara Rogahn,563.971.756-93
Nathan Ratke IV,172.584.298-20
Pres. Dorsey Herzog,718.989.543-43
Jon Moore,411.893.252-73
Rev. Corina Hudson,537.245.371-94
Daphne Tromp,329.826.866-48
Jerrold Ruecker,926.214.516-36
The Hon. Debera Cruickshank,823.346.564-83
Allyn Kulas,870.286.591-90
Mr. Jonathan Gusikowski,361.286.717-76
Carma Howell,165.151.819-10
Sam Grant,611.728.800-57
Sherita Kuphal Jr.,998.691.852-99
Carol Walter,110.669.152-49
Anthony Haley,199.235.618-90
Garfield Bogan,920.824.432-59
Hyman Haag,933.589.712-15
Candi Huels,558.298.882-91
Noble Lockman,172.600.303-31
Markus Rohan,736.314.536-74
Amb. Mayme Hauck,261.159.844-81
Nigel Schinner,370.848.690-42
Mrs. Chanell Conroy,208.225.889-25
Gino Schumm,737.724.694-17
Merle Mosciski,944.242.303-83
Amalia Kuphal CPA,476.154.287-64
Roselle Botsford,182.343.949-95
Ronald Abbott,630.128.146-18
Willie Wilkinson,739.100.826-79
Tashia Grant,242.898.762-82
Chas Armstrong,764.981.621-48
Tarah Hansen,103.458.178-66
Dorathy Ullrich,959.829.726-20
Leeanne Cremin PhD,471.564.709-49
Amos Vandervort,774.830.799-78
Cordell Shanahan,169.337.171-46
Francisco Weimann,554.881.343-58
Eun Balistreri,537.572.159-78
Jimmy Batz,961.830.832-68
Dennis Zboncak,911.931.759-11
Dalila Stanton PhD,912.449.674-50
Brigid Jones IV,566.743.121-55
Synthia Kuhic,577.331.679-87
Antone Mueller Esq.,495.431.288-29
Annamarie Wiza,700.597.618-47
Noe Maggio,460.586.285-35
Dee Adams VM,588.428.536-69
Hilario Marquardt,855.114.713-14
Lavone Williamson,641.492.773-49
Carroll Weissnat,332.414.630-25
Xenia Tremblay IV,831.512.562-45
Prof. German Steuber,117.178.367-10
Armando Raynor PhD,554.852.625-27
Raymond Turner JD,484.882.610-17
Mr. Dustin Stamm,221.489.493-90
Margareta Crona,779.277.895-14
Harvey Haley,865.105.984-30
Darnell Schamberger,133.775.391-19
Miss Silvia Huel,952.240.789-41
Kellie Kautzer,950.965.777-36
Mitsuko Paucek,639.817.799-64
Amb. Edgardo Johns,797.405.709-81
Vincenzo Nikolaus,119.211.820-84
Krystle Lynch,575.288.690-53
Maegan Huels,880.681.124-91
Msgr. Reginia Will,969.622.878-14
Colin Simonis,239.430.969-96
Maricela Pagac I,951.983.120-48
Miss Rashad Stark,505.943.809-13
Aliza Turner,649.946.602-78
Rocco Hermiston JD,749.620.743-60
Stacia Kilback,430.494.745-53
Mikel Bartoletti,257.458.995-78
Esteban Windler,699.214.229-42
Caleb Cartwright,257.151.358-62
Krysten Dach,502.188.861-86
Damian Bauch,869.633.418-99
Fr. Jason Schumm,978.217.451-90
Roberta Jacobson,775.397.334-37
Rima Runte,248.636.296-79
Chang Mante,487.324.790-82
Vincenzo Quitzon,561.786.307-60
Daine Stiedemann,981.558.982-21
Merle Mertz,853.402.872-83
Carlos Mann,466.484.472-63
Fatima Hirthe I,159.604.656-92
Silas Davis,131.974.909-67
Mrs. Lexie Christiansen,932.667.632-90
Ralph Feest,542.181.278-59
Eric Jacobi,420.305.142-71
Elliot Buckridge,508.393.587-76
Keeley Donnelly,914.429.138-96
Wallace Ebert,256.541.636-33
Laquanda Auer,241.299.288-61
Mrs. Bernardina Volkman,692.320.409-96
Kala Haag MD,143.336.504-81
The Hon. Deandre Purdy,975.423.989-13
Jessi Kling DO,815.903.368-56
Corrie Rippin,180.291.791-34
Kasie Ullrich,769.408.701-35
Santos Lindgren,825.323.567-17
Sacha Lowe DVM,900.208.330-47
Zaida Corwin,633.600.730-43
Loren O'Kon,493.382.542-86
Patty Davis,778.433.210-32
Luke Dietrich Sr.,659.591.321-12
Jacques Keebler,188.678.831-33
Hubert Gerhold,807.186.718-74
Jefferson Streich,190.547.835-82
Alethea Trantow,386.996.125-59
Dominica Hayes,476.920.858-59
Chuck Reilly,252.506.170-79
Rep. Brandon Bailey,121.910.253-13
Rep. Freddie Bayer,907.360.870-74
Kristeen Jakubowski,365.323.413-88
Barbera Smith,588.436.236-48
Jennefer Erdman,934.285.319-49
Jaimie Kuhn,146.582.807-61
Rosia West,277.699.592-62
Lisha Ondricka,149.670.587-83
Jamey Parker,760.182.553-49
Rebeca Auer,118.233.722-56
Donald Bode,511.919.424-16
Arthur Bins,463.810.414-81
Junie Hills Jr.,489.595.531-75
Marty Klocko,302.164.773-89
Hank Smitham,387.788.236-42
Enoch Weimann,676.754.244-77
Tiana Mohr,766.641.595-53
Leticia Howell,997.923.466-29
Zachery Wintheiser,269.461.277-95
Concetta Haag,646.306.309-49
Isaura Ruecker,905.178.650-87
Kerry Pagac,211.244.370-50
Mrs. Idalia Braun,133.242.355-78
Clinton Kreiger Jr.,660.113.823-35
Kindra Farrell,665.690.217-37
Santos Ledner DVM,408.956.176-56
Erin Rowe,879.981.624-85
Sang McCullough,642.927.177-71
Mardell Hermiston,859.783.338-77
Cathy Prosacco,378.462.844-57
Adella Kreiger Jr.,580.959.121-33
Pres. Truman Hahn,693.284.177-25
Seymour Koch VM,704.164.142-64
Shelba McLaughlin,862.113.448-58
Vanesa Rempel,908.434.437-64
Edwin Adams,869.186.125-62
Amb. Rocky Hintz,751.636.171-59
Shirly Hauck,183.612.177-54
Fr. Maris Morar,595.454.631-87
Mac Schultz,451.221.892-26
Alesia Simonis,956.740.430-70
Donald Kub,224.703.854-27
Wanetta Oberbrunner,147.624.356-90
Hilton Volkman III,758.837.170-55
Genie Hackett,131.685.642-84
Cristopher Ratke,290.402.293-85
Rev. Theo Johns,659.481.244-58
Melonie Koelpin I,946.618.840-41
Connie Rath PhD,434.369.292-92
Orville Gibson Sr.,922.712.296-43
Damion Swaniawski,444.158.877-66
Amb. Benito Will,598.175.330-25
Grazyna Treutel,696.657.318-44
Bryan Keebler,377.276.218-50
Maynard Tremblay,179.938.101-70
Rev. Rosalina Cremin,775.977.669-43
Ms. Teresita Wiegand,727.249.613-89
Kelle Volkman,124.931.551-47
Latonia King CPA,364.401.710-59
Mohammad Volkman,831.941.791-54
Shaneka Kertzmann,107.570.850-18
Lissette O'Keefe,305.810.903-38
Janae Effertz,447.547.871-91
Kyle Hirthe Esq.,489.503.906-49
Heike Okuneva,295.131.701-23
Johnathan Aufderhar,881.999.467-17
Kasey Mraz,151.350.560-22
Lisbeth Krajcik,101.874.600-58
Nichelle Smith,957.432.911-10
Lynwood Graham,982.623.658-39
Alvaro Stroman,334.362.429-54
Jordan Bernier,813.771.279-71
Margarito Johns,628.179.307-16
Carroll Sawayn,255.981.584-62
Lakeshia Batz,931.920.105-11
Trinity Senger,330.593.650-55
Slyvia Stanton LLD,848.249.821-96
Ms. Marquis Keebler,388.842.537-33
Jaimee Beatty,681.599.574-84
Rep. Dewayne Vandervort,671.885.667-16
Ladonna Hagenes,681.733.520-48
Elliot Ernser JD,103.811.919-99
Otto Walker,450.745.801-26
Karoline Ullrich,109.941.894-11
Arthur Gibson,378.151.190-82
Fr. Stepanie Kuvalis,544.875.727-21
Orville Hudson,370.765.436-40
Scott Tillman,706.978.733-66
Dr. Michel Hahn,128.610.685-11
Msgr. Olivia Kunde,501.185.591-43
Teodora Muller,710.562.817-80
Darrin Tremblay,727.175.807-30
Antonia Wiegand,391.760.810-92
Cassaundra Cartwright JD,179.783.737-76
Josef Swaniawski,881.143.411-46
Roxann Jones,304.413.174-39
Fleta Bruen,913.554.666-71
Broderick Oberbrunner,285.943.358-71
Sean Goldner,436.677.240-55
Ms. Milan Beahan,882.185.595-93
Mandie Carter,870.704.806-84
Ashley Block PhD,526.542.536-89
Arlen Hermann,823.736.303-26
Natashia Reichert,198.832.281-54
Miss Tobias Crona,268.747.795-17
Prof. Jessi Raynor,174.150.658-22
Claude Lebsack DDS,542.132.361-37
Rev. Casie Johnson,935.487.351-45
Msgr. Zina Reinger,554.869.498-37
Diego Hilll,326.855.630-79
Marian Jenkins II,583.183.866-41
Nova Weissnat,999.300.343-59
Ilana Collins,914.918.394-96
Arnold Vandervort,322.721.640-67
Kassie Russel,884.840.801-10
Teena Leannon,404.937.219-61
Ismael Bauch,391.155.867-80
Carlee Bogan DVM,337.818.816-96
Deangelo Kassulke Ret.,662.530.930-97
Hollis Nitzsche CPA,654.123.807-51
Ms. Lorinda Kuhn,320.147.310-76
Collin Altenwerth,524.510.704-29
Marylee Boyle PhD,864.804.465-13
Velva VonRueden,383.852.476-45
Jackie Berge,414.580.950-91
Boyd Gottlieb Esq.,950.140.562-80
Marcel Muller Jr.,445.237.841-10
Carolynn Sipes DC,639.326.676-48
Joetta Orn,264.387.711-47
Mitchel Wiza,188.639.774-31
Vernon Lakin,117.746.203-51
Fr. Ivana Rath,216.168.644-67
Renea Schroeder,212.120.753-51
Rev. Bernarda Lindgren,142.146.685-17
Madie Torphy,988.589.941-62
Quentin Gibson,235.642.111-69
Jed Schumm III,529.962.190-59
Danita Lang,536.410.298-74
Ambrose Bahringer,152.539.706-75
Marquis Ferry,637.436.659-66
Ian Marquardt,979.413.319-11
Mrs. Donnell Hudson,159.904.817-21
Carina Beatty,987.778.120-97
Tristan Fritsch DVM,257.874.236-20
Gov. Nida Hayes,610.581.616-78
Lise Yundt,657.369.731-30
Prof. Burton Rempel,545.155.632-13
Luis Predovic,456.324.941-37
Amado Price,908.933.694-44
Sixta Reichert,856.917.269-44
Pres. Madeleine Kohler,537.901.257-29
Dr. Ferdinand Marquardt,378.762.227-74
The Hon. Ty Ratke,198.462.531-10
Foster Crona,438.884.556-17
Dorian Herman,261.121.341-24
Prof. Inger Lowe,934.166.368-40
Davida Batz,567.206.212-88
Galen Conroy,873.770.389-68
Masako Bogisich,758.439.300-93
Dyan Prosacco,675.398.480-39
Stephaine Nienow,321.129.611-53
Fr. Marshall Watsica,431.646.915-88
Murray Schroeder,903.179.977-92
Colleen Funk,527.544.627-84
Slyvia Gleason,678.941.997-91
Anibal Borer,572.970.115-67
Percy Wyman,110.223.482-61
Brendan Stokes,708.294.622-83
Maren Boehm,172.117.977-71
Sharyl Hirthe,698.486.564-83
Valda Corkery DDS,183.580.660-98
Jenelle Dickinson,865.749.417-40
The Hon. Harlan Turner,548.790.734-12
Mr. Micheline Howell,622.806.805-31
Rep. Frankie Langworth,240.298.173-83
Shannon Bogisich,103.595.804-63
Eduardo Fisher,552.498.805-54
Msgr. Aldo Baumbach,240.774.726-46
Janine Hahn,206.224.671-88
Arnoldo Kessler DVM,519.315.444-81
Eartha Heller,545.672.457-96
Hollis Kuphal,695.249.525-45
Katrina Wilkinson DVM,747.944.946-78
Mr. Gaston Strosin,434.830.864-56
Georgianna Koelpin,995.351.667-29
Prof. Keneth Morar,405.545.648-17
Dr. Ignacio Nikolaus,730.209.286-78
Tamekia Ullrich,129.196.379-22
Mrs. Edelmira Koelpin,608.386.101-75
Hans Schaefer,940.700.866-34
Maile Beer,644.902.285-79
Jarod Welch,934.377.834-82
Brigette Nicolas,953.568.586-94
Reid Davis Esq.,884.145.479-92
Earleen Hettinger,489.177.222-36
Leo Boyle,167.415.143-43
Dr. Ty Morissette,376.418.632-89
Prof. Johanne Stokes,638.139.431-70
Mary Ankunding,889.883.736-28
Joshua Greenholt,208.712.356-50
Dede Halvorson,222.944.425-51
Danuta Skiles,569.697.757-90
Dr. Shenika Upton,623.893.901-33
Deangelo Pouros PhD,950.831.259-89
Jamaal Bergnaum,416.688.235-40
Brady Gislason,950.210.616-74
Jamar Schneider,813.602.828-48
Marti Kozey VM,237.309.471-18
Donte Frami,222.100.366-93
Nickolas Lowe IV,583.942.847-54
Mr. Zulma Gerlach,481.118.380-57
Hae Feeney,897.369.296-44
Edward Kertzmann,664.157.720-26
Pres. Cary Torphy,376.679.494-20
Stephania Rowe,506.508.798-99
Clyde Ernser IV,557.546.707-31
Ricki Hirthe,276.197.114-27
Chet Moen Jr.,575.305.792-72
Michelle Nikolaus,662.136.689-90
Rev. Jamika Pfannerstill,756.451.840-24
Adelle Macejkovic Jr.,273.570.455-93
Rod Erdman I,647.495.911-84
Maricruz Armstrong,364.858.623-71
Sabrina Von Sr.,496.660.431-49
Louella Wintheiser,358.962.246-47
Jaime Hettinger,754.176.857-53
Lauren Reilly,273.965.806-89
In Crooks Ret.,826.161.236-28
Randal Cole,744.602.325-72
Ms. Virgina Schaefer,404.451.964-63
Jude Welch,920.547.576-73
Sanjuanita McGlynn,425.459.629-81
Stacie Bradtke,809.478.748-43
Wilton Schmeler,631.408.430-83
Tonia Bahringer,138.254.267-79
Yuriko Nikolaus,460.370.559-85
Tracy Legros,510.173.822-17
Dr. Diego Nitzsche,632.752.896-63
Eugenia O'Connell,281.569.269-12
Luis Harris,989.785.319-82
Pres. Jefferey Nader,685.977.710-45
Velma Yundt III,367.668.395-91
Felice Buckridge II,313.641.778-53
Elaine Walter,484.757.286-17
Hyman Hills,836.484.338-94
Gov. Numbers Corwin,587.251.448-34
Prof. Jeff Feil,298.925.699-83
Phyliss Renner,464.308.766-61
Nathan Swift,147.219.320-31
Damion Wunsch,651.478.445-89
Bradford MacGyver,234.478.460-67
Prof. Keren MacGyver,169.251.971-24
Edmundo Nicolas,499.965.936-56
Sen. Aundrea Walker,983.145.213-81
Suzanna Zulauf II,943.370.375-63
Jamey Wuckert MD,437.320.162-58
Mallie Graham,734.468.343-86
Noma Champlin,999.976.103-24
Dylan Bogan,596.272.995-55
Cruz O'Hara,208.562.432-14
Onita Gottlieb,287.621.867-72
Pasty Terry,855.496.622-67
Dino Borer,716.521.589-71
Huey Kunde,798.316.488-70
Dorsey Gusikowski MD,384.564.292-78
Jeni Deckow,455.970.851-49
Lincoln Leannon III,294.807.824-65
Cristobal Leffler,978.431.324-92
Danielle McLaughlin PhD,289.760.819-52
Rachal Ratke,641.632.588-55
Idalia Tremblay,374.192.367-24
Katlyn Rempel,245.406.284-45
Chauncey Stanton,605.799.969-69
Alona Heathcote MD,346.615.158-65
Savannah Lockman,874.762.312-71
Mrs. Heidy Barton,426.817.431-68
Fr. Dori Schmitt,659.482.450-58
Judith Hudson,922.220.161-91
Msgr. Santiago O'Conner,929.692.364-60
Delores Watsica DO,797.779.419-16
Syble Torphy V,172.849.364-81
Mrs. Harmony Stokes,123.210.641-85
Emogene Dickinson CPA,622.553.281-24
Dora Mante CPA,252.419.393-89
Ernest Boyer,101.784.219-23
Lavonne Breitenberg LLD,446.256.806-95
Zofia Considine,750.844.340-27
Kelvin Kozey,734.257.788-77
Ellis Wiza,584.803.778-82
Rocco Grant,417.642.493-64
Cecile Stamm,285.476.155-10
Asa Mayer,251.838.858-45
Tristan Rutherford,452.193.725-72
Marisha Franecki,826.428.195-61
Brent Greenfelder,811.629.515-74
Audie Rath,838.773.142-19
Georgette Trantow,938.992.855-91
Ned Gusikowski PhD,785.126.142-36
Voncile Pfannerstill,541.851.647-80
Audria Volkman,345.709.790-33
Jennette Jakubowski,223.683.950-80
Gov. Byron Barton,267.900.902-17
Sanford Beer LLD,181.249.419-16
Julee Paucek,428.589.255-86
Alva Corkery,978.794.946-36
Alphonso Pfeffer,487.134.998-34
Jeanmarie Spencer,520.305.436-28
Michael Hodkiewicz MD,681.201.400-72
Marcos Collier LLD,213.201.154-30
Ms. Fredrick Spinka,338.633.342-25
Josiah Considine,721.754.527-24
Rick Cartwright LLD,486.412.722-90
Jacelyn Klocko,376.914.692-22
Odell Leannon,449.771.626-54
Irwin Mitchell,614.755.154-14
Lino Kshlerin,322.642.314-88
Kelley Stokes,230.410.715-51
Susy Dooley,581.636.650-41
The Hon. Tamekia Gerlach,288.778.714-19
Flora Marvin,210.877.813-90
Msgr. Jimmie Mosciski,749.947.767-11
Marc Hartmann,405.893.439-74
Diego Deckow,785.188.454-28
Angelo Howe,706.572.331-55
Jude Larson,459.729.904-65
Prof. Gwenn Stamm,993.685.355-15
Scott Johnston,991.959.646-50
Demetra O'Kon MD,268.443.785-78
Assunta Bechtelar,883.733.532-14
Stewart Bernhard DDS,633.275.938-88
Porter Yundt,166.609.386-68
Buddy Schuster,782.374.400-67
Dung Buckridge,452.963.325-85
Jordan Bashirian,715.461.303-88
Maggie Stokes,821.535.244-89
Brian Weber DO,916.864.498-65
Janae Macejkovic,176.260.285-71
Mrs. Matilde Bernier,411.539.731-51
Serita Prohaska Esq.,566.773.653-15
Mrs. Frankie Flatley,528.565.530-66
Jerrold Jacobson,856.668.265-43
Harris Williamson,292.409.839-50
Rogelio Hodkiewicz,232.414.424-11
Diego Stehr,335.837.212-92
Brady Beer,771.453.115-73
Andy Kulas,812.932.219-18
Darrell McCullough,895.935.971-10
Lizette Little,572.174.263-88
Ignacio Heidenreich,357.314.344-26
Kellye Aufderhar,429.411.199-91
Renato Wilkinson,425.114.839-56
Mary Wehner,552.932.425-76
Leopoldo Harvey,785.168.218-78
Tangela Strosin,681.606.568-87
Twanda Leuschke,831.841.489-98
Reggie Leannon,540.412.506-24
Dr. Dinorah Beahan,653.522.125-22
Beaulah Harvey,496.531.186-87
Glenn Williamson,430.963.936-78
Ezra Rodriguez,106.714.967-73
Marquis Metz,504.641.517-37
Annette Moore V,285.838.342-69
Sang McLaughlin,931.767.683-83
Lou Upton,448.193.764-33
Basil Donnelly I,887.132.167-72
Ardith Prohaska,608.827.589-40
Ms. Sidney Anderson,988.959.822-64
Ocie Dibbert,176.917.491-24
Terra Hammes,522.564.871-54
Van Torp,418.249.503-35
Kenneth Lubowitz,676.889.910-33
Jillian Osinski Esq.,976.945.276-10
Shirley Muller,262.619.719-72
Benito Ankunding,422.460.228-65
John Stark,275.146.767-92
Antoine Walter,720.303.363-46
Tomiko Schuster,677.368.273-93
Brady Stamm,985.152.387-45
The Hon. Reda Wiza,911.500.159-80
Cari Champlin,336.155.274-77
Norris Smith,125.841.806-58
Zachariah Dibbert,600.865.624-36
Sen. Oswaldo McCullough,501.327.816-21
Bennett Lindgren,631.966.533-79
Lynn Kuphal,835.232.614-71
Zena Monahan,416.805.105-53
Kelvin Hudson III,523.940.926-18
Dorethea Ernser IV,883.627.451-79
Leah Lind,400.526.163-71
Dorinda Hane,500.842.248-91
Ms. Odilia Macejkovic,132.659.512-10
Cristen Gusikowski,460.269.270-72
Antoine Runte,356.169.603-58
Mrs. Amber Schneider,194.354.217-58
Will Howe,667.444.179-34
Heide Schoen,220.536.832-26
Wendell Mohr,503.430.391-55
Tameika Hoppe,526.750.892-79
Reggie Zemlak PhD,857.366.587-31
Thad Schinner,621.572.547-64
Jonas Friesen V,703.516.152-72
Myrtie Jaskolski,588.231.974-64
Janella Hansen,104.640.117-41
Kip Crist,303.851.747-28
Rolland Keeling V,887.137.704-14
Katheryn Johns,632.253.105-89
Jonathon Beatty,634.556.495-72
Stewart Labadie,532.164.336-34
Wilber Torp V,135.451.238-72
Wan Hagenes,202.141.995-25
Rina Auer III,609.529.676-89
Victor Koelpin,332.699.274-22
Terrance Lynch,295.799.907-32
Ms. Chance Kreiger,918.932.547-97
Woodrow Emmerich,810.444.864-45
Xiomara Price,732.939.246-61
Bibi Bogan,628.720.736-16
Ernest Goldner,234.541.811-58
Karissa Ryan,186.119.337-34
Lula Schamberger DO,520.898.297-14
Federico Lockman,566.596.187-56
Marni Hodkiewicz,180.438.217-25
Eneida Langosh,501.204.789-10
Alethia Cartwright,689.531.937-38
Marlen Wolff,800.828.338-47
Norah Konopelski,855.314.793-85
Ula Watsica,796.309.345-96
Justin Conn,716.617.636-41
Florencia Breitenberg,588.424.306-35
